Item,Cat,Type,Tags
{{ModId}}_CarawayFlower,-80,Flower,"raffadax_object, raffadax_crops_object, forage_item"
{{ModId}}_CarawayRoot,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_CassavaLeaf,-75,Vegetable,"raffadax_object, raffadax_crops_object, forage_item"
{{ModId}}_CassavaRoot,-81,Greens,"raffadax_object, raffadax_crops_object, category_vegetable"
{{ModId}}_CayennePepper,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_Celery,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_Chamomile,-80,Flower,"raffadax_object, raffadax_crops_object"
{{ModId}}_Chervil,-81,Greens,"raffadax_object, raffadax_crops_object, category_herb"
{{ModId}}_Chicory,-75,Vegetable,"raffadax_object, raffadax_crops_object, forage_item"
{{ModId}}_ChicoryFlower,-80,Flower,"raffadax_object, raffadax_crops_object, forage_item"
{{ModId}}_ChicoryRoot,-81,Greens,"raffadax_object, raffadax_crops_object, category_herb"
{{ModId}}_Chives,-75,Vegetable,"raffadax_object, raffadax_crops_object, forage_item"
{{ModId}}_Cilantro,-81,Greens,"raffadax_object, raffadax_crops_object, category_herb"
{{ModId}}_Clover,-80,Flower,"raffadax_object, raffadax_crops_object, forage_item"
{{ModId}}_Coriander,-81,Greens,"raffadax_object, raffadax_crops_object, category_spice"
{{ModId}}_CorianderFlower,-80,Flower,"raffadax_object, raffadax_crops_object"
{{ModId}}_CreminiMushroom,-81,Forage,"raffadax_object, raffadax_crops_object, forage_item, category_mushroom"
{{ModId}}_Cucumber,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_Daisy,-80,Flower,"daisy_item, raffadax_object, raffadax_crops_object"
{{ModId}}_DandelionGreens,-75,Vegetable,"raffadax_object, raffadax_crops_object, forage_item"
{{ModId}}_DandelionPuffball,-81,Greens,"raffadax_object, raffadax_crops_object, forage_item, category_flower"
{{ModId}}_DandelionRoot,-75,Vegetable,"raffadax_object, raffadax_crops_object, category_medicinalherb"
{{ModId}}_Dill,-81,Greens,"raffadax_object, raffadax_crops_object, category_herb"
{{ModId}}_DryadsSaddle,-81,Forage,"raffadax_object, raffadax_crops_object, forage_item, category_mushroom"
{{ModId}}_Ergot,-81,Forage,"raffadax_object, raffadax_crops_object, category_mushroom"
{{ModId}}_Fennel,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_FennelFlower,-80,Flower,"raffadax_object, raffadax_crops_object"
{{ModId}}_FennelGreens,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_FennelPollen,-81,Greens,"raffadax_object, raffadax_crops_object, category_spice"
{{ModId}}_Fenugreek,-81,Greens,"raffadax_object, raffadax_crops_object, category_herb"
{{ModId}}_FernFlower,-80,Flower,"raffadax_object, raffadax_crops_object, category_legendaryflower"
{{ModId}}_FireWheel,-80,Flower,"raffadax_object, raffadax_crops_object, forage_item"
{{ModId}}_FlindersRose,-80,Flower,"raffadax_object, raffadax_crops_object"
{{ModId}}_Foxglove,-80,Flower,"raffadax_object, raffadax_crops_object, forage_item"
{{ModId}}_FrostCap,-81,Forage,"raffadax_object, raffadax_crops_object, forage_item, category_mushroom"
{{ModId}}_GarbanzoBeans,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_GemCap,-81,Forage,"raffadax_object, raffadax_crops_object, forage_item, category_mushroom"
{{ModId}}_GentianBark,-81,Greens,"raffadax_object, raffadax_crops_object, category_medicinalherb"
{{ModId}}_GentianFlower,-80,Flower,"raffadax_object, raffadax_crops_object"
{{ModId}}_GentianRoot,-81,Greens,"raffadax_object, raffadax_crops_object, category_medicinalherb"
{{ModId}}_GlassGemCorn,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_GlassPumpkin,-2,Gem,"raffadax_object, raffadax_crops_object, category_treasure"
{{ModId}}_GoldenCauliflower,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_GoldenChest,-2,Gem,"raffadax_object, raffadax_crops_object, forage_item, category_treasure"
{{ModId}}_GoldenLeaf,-2,Gem,"raffadax_object, raffadax_crops_object, forage_item, category_treasure"
{{ModId}}_GrapeLeaf,-75,Vegetable,"raffadax_object, raffadax_crops_object, forage_item"
{{ModId}}_GreenBellPepper,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_GreenCabbage,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_GreenCardamomPod,-81,Greens,"raffadax_object, raffadax_crops_object, category_spice"
{{ModId}}_GreenLeafLettuce,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_GreenOnion,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_GreenPea,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_GreenPeppercorns,-81,Greens,"raffadax_object, raffadax_crops_object, category_spice"
{{ModId}}_GreenTomato,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_Gultheria,-80,Flower,"raffadax_object, raffadax_crops_object, forage_item"
{{ModId}}_Hawkweed,-80,Flower,"raffadax_object, raffadax_crops_object, forage_item"
{{ModId}}_HempStalk,-81,Greens,"raffadax_object, raffadax_crops_object, category_stem"
{{ModId}}_HoneydewMelon,-79,Fruit,"raffadax_object, raffadax_crops_object"
{{ModId}}_HornNut,-81,Greens,"raffadax_object, raffadax_crops_object, category_nut"
{{ModId}}_Indigo,-80,Flower,"raffadax_object, raffadax_crops_object, forage_item"
{{ModId}}_IvoryBellPepper,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_JalapenoPepper,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_Lemongrass,-81,Greens,"raffadax_object, raffadax_crops_object, category_herb"
{{ModId}}_Lentils,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_Liverwort,-81,Greens,"raffadax_object, raffadax_crops_object, forage_item, category_medicinalherb"
{{ModId}}_LotusLeaf,-81,Greens,"raffadax_object, raffadax_crops_object, category_leaf"
{{ModId}}_LotusRoot,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_LotusStalk,-81,Greens,"raffadax_object, raffadax_crops_object, category_stem"
{{ModId}}_LuckyClover,-81,Forage,"raffadax_object, raffadax_crops_object, forage_item, category_legendaryherb"
{{ModId}}_Luminushroom,-81,Forage,"raffadax_object, raffadax_crops_object, forage_item, category_mushroom"
{{ModId}}_MandragoraFlower,-80,Flower,"raffadax_object, raffadax_crops_object, category_legendaryflower"
{{ModId}}_Mandrake,-75,Vegetable,"raffadax_object, raffadax_crops_object, category_legendaryherb"
{{ModId}}_Marjoram,-81,Greens,"raffadax_object, raffadax_crops_object, category_herb"
{{ModId}}_MatsutakeMushroom,-81,Forage,"raffadax_object, raffadax_crops_object, forage_item, category_mushroom"
{{ModId}}_MintFlower,-80,Flower,"raffadax_object, raffadax_crops_object, forage_item"
{{ModId}}_Mosshroom,-81,Forage,"raffadax_object, raffadax_crops_object, forage_item, category_mushroom"
{{ModId}}_Mugwort,-81,Greens,"raffadax_object, raffadax_crops_object, forage_item, category_medicinalherb"
{{ModId}}_MustardGreens,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_NettleBlossom,-80,Flower,"raffadax_object, raffadax_crops_object, forage_item"
{{ModId}}_Nigella,-80,Flower,"raffadax_object, raffadax_crops_object, forage_item"
{{ModId}}_Nopal,-75,Vegetable,"raffadax_object, raffadax_crops_object, forage_item"
{{ModId}}_Okra,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_OpuntiaFlower,-80,Flower,"raffadax_object, raffadax_crops_object, forage_item"
{{ModId}}_OrangeBellPepper,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_OrangeCarrot,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_Oregano,-81,Greens,"raffadax_object, raffadax_crops_object, category_herb"
{{ModId}}_PaprikaPepper,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_Parsley,-81,Greens,"raffadax_object, raffadax_crops_object, category_herb"
{{ModId}}_PassionFlower,-80,Flower,"raffadax_object, raffadax_crops_object, forage_item"
{{ModId}}_PassionFruit,-79,Fruit,"raffadax_object, raffadax_crops_object"
{{ModId}}_Peanut,-81,Greens,"raffadax_object, raffadax_crops_object, category_nut"
{{ModId}}_Peppermint,-81,Greens,"raffadax_object, raffadax_crops_object, forage_item, category_herb"
{{ModId}}_PeriwinkleFlower,-80,Flower,"raffadax_object, raffadax_crops_object, forage_item"
{{ModId}}_Peyote,-81,Greens,"raffadax_object, raffadax_crops_object, forage_item, category_medicinalherb"
{{ModId}}_Poinsettia,-80,Flower,"raffadax_object, raffadax_crops_object, forage_item"
{{ModId}}_PortobelloMushroom,-81,Forage,"raffadax_object, raffadax_crops_object, forage_item, category_mushroom"
{{ModId}}_PricklyPear,-79,Fruit,"raffadax_object, raffadax_crops_object, forage_item"
{{ModId}}_PsilocybinMushroom,-81,Forage,"raffadax_object, raffadax_crops_object, forage_item, category_mushroom"
{{ModId}}_PuffballMushroom,-81,Forage,"raffadax_object, raffadax_crops_object, forage_item, category_mushroom"
{{ModId}}_PurpleAsparagus,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_PurpleBellPepper,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_PurpleCarrot,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_PurpleCauliflower,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_RadioactiveMushroom,-81,Forage,"raffadax_object, raffadax_crops_object, forage_item, category_mushroom"
{{ModId}}_Rapini,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_RedAntlerReishi,-81,Forage,"raffadax_object, raffadax_crops_object, forage_item, category_mushroom"
{{ModId}}_RedBellPepper,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_RedCarrot,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_RedCorn,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_RedOnion,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_RedPeppercorns,-81,Greens,"raffadax_object, raffadax_crops_object, category_spice"
{{ModId}}_RedPotato,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_RhubarbStalks,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_Romanesco,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_Rose,-80,Flower,"raffadax_object, raffadax_crops_object"
{{ModId}}_RoseHips,-79,Fruit,"raffadax_object, raffadax_crops_object"
{{ModId}}_Rutabaga,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_Rye,-81,Greens,"raffadax_object, raffadax_crops_object, category_grain"
{{ModId}}_Saffron,-81,Greens,"raffadax_object, raffadax_crops_object, category_spice"
{{ModId}}_Sage,-81,Greens,"raffadax_object, raffadax_crops_object, category_herb"
{{ModId}}_Sarsaparilla,-81,Greens,"raffadax_object, raffadax_crops_object, forage_item, category_herb"
{{ModId}}_SarsaparillaBerry,-79,Fruit,"raffadax_object, raffadax_crops_object, forage_item"
{{ModId}}_Savory,-81,Greens,"raffadax_object, raffadax_crops_object, category_herb"
{{ModId}}_Scallion,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_ScotchBonnetPepper,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_Shamrock,-81,Greens,"raffadax_object, raffadax_crops_object, forage_item, category_herb"
{{ModId}}_ShisoLeaf,-81,Greens,"raffadax_object, raffadax_crops_object, category_herb"
{{ModId}}_SilverLeaf,-2,Gem,"raffadax_object, raffadax_crops_object, forage_item, category_treasure"
{{ModId}}_SnowPea,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_Soybean,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_Spearmint,-81,Greens,"raffadax_object, raffadax_crops_object, forage_item, category_herb"
{{ModId}}_Spinach,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_Squash,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_SquashFlower,-80,Flower,"raffadax_object, raffadax_crops_object, forage_item"
{{ModId}}_StingingNettle,-75,Vegetable,"raffadax_object, raffadax_crops_object, forage_item"
{{ModId}}_Sunchoke,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_SweetPotato,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_Tarragon,-81,Greens,"raffadax_object, raffadax_crops_object, category_herb"
{{ModId}}_ThunderCap,-81,Forage,"raffadax_object, raffadax_crops_object, forage_item, category_mushroom"
{{ModId}}_Thyme,-81,Greens,"raffadax_object, raffadax_crops_object, category_herb"
{{ModId}}_Tobacco,-81,Greens,"raffadax_object, raffadax_crops_object, category_smokeleaf"
{{ModId}}_Tomatillo,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_Topinambur,-80,Flower,"raffadax_object, raffadax_crops_object, forage_item"
{{ModId}}_Turmeric,-75,Vegetable,"raffadax_object, raffadax_crops_object, category_spice"
{{ModId}}_Turnip,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_TurnipGreens,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_UnluckyClover,-81,Forage,"raffadax_object, raffadax_crops_object, forage_item, category_legendaryherb"
{{ModId}}_VanillaBean,-81,Greens,"raffadax_object, raffadax_crops_object, category_spice"
{{ModId}}_VanillaOrchid,-80,Flower,"raffadax_object, raffadax_crops_object, forage_item"
{{ModId}}_Violet,-80,Flower,"violetflower_item, raffadax_object, raffadax_crops_object"
{{ModId}}_VoidMushroom,-81,Forage,"raffadax_object, raffadax_crops_object, forage_item, category_mushroom"
{{ModId}}_Waldmeister,-80,Flower,"raffadax_object, raffadax_crops_object, forage_item"
{{ModId}}_Watermelon,-79,Fruit,"raffadax_object, raffadax_crops_object"
{{ModId}}_WaxBean,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_WhiteAsparagus,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_WhiteBellPepper,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_WhiteCarrot,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_WhiteGrapes,-79,Fruit,"raffadax_object, raffadax_crops_object"
{{ModId}}_WhiteOnion,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_WhiteTeaLeaf,-81,Greens,"raffadax_object, raffadax_crops_object, category_tealeaf"
{{ModId}}_WhiteTruffle,-81,Forage,"raffadax_object, raffadax_crops_object, forage_item, category_mushroom"
{{ModId}}_WildBarley,-81,Greens,"raffadax_object, raffadax_crops_object, category_grain"
{{ModId}}_WildDaisy,-80,Flower,"daisy_item, raffadax_object, raffadax_crops_object, forage_item"
{{ModId}}_WildGrapes,-75,Vegetable,"raffadax_object, raffadax_crops_object, forage_item, category_fruit"
{{ModId}}_WildOats,-81,Greens,"raffadax_object, raffadax_crops_object, category_grain"
{{ModId}}_WildViolet,-80,Flower,"violetflower_item, raffadax_object, raffadax_crops_object, forage_item"
{{ModId}}_Wintergreen,-81,Greens,"raffadax_object, raffadax_crops_object, category_herb"
{{ModId}}_Wolfsbane,-80,Flower,"raffadax_object, raffadax_crops_object, forage_item"
{{ModId}}_Woodruff,-81,Greens,"raffadax_object, raffadax_crops_object, forage_item, category_herb"
{{ModId}}_Wormwood,-81,Greens,"raffadax_object, raffadax_crops_object, forage_item, category_medicinalherb"
{{ModId}}_Xoconostle,-79,Fruit,"raffadax_object, raffadax_crops_object, forage_item"
{{ModId}}_Yarrow,-80,Flower,"raffadax_object, raffadax_crops_object, forage_item"
{{ModId}}_YarrowLeaf,-81,Greens,"raffadax_object, raffadax_crops_object, forage_item, category_medicinalherb"
{{ModId}}_YarrowRoot,-75,Vegetable,"raffadax_object, raffadax_crops_object, category_medicinalherb"
{{ModId}}_YellowBellPepper,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_YellowCarrot,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_Zucchini,-75,Vegetable,"raffadax_object, raffadax_crops_object"
{{ModId}}_AcaiBerry,-79,Fruit,"raffadax_object, raffadax_fruittrees_object"
{{ModId}}_Agave,-75,Vegetable,"raffadax_object, raffadax_fruittrees_object"
{{ModId}}_Almond,-81,Greens,"raffadax_object, raffadax_fruittrees_object, category_nut"
{{ModId}}_AngosturaBark,-81,Greens,"raffadax_object, raffadax_fruittrees_object, category_herb"
{{ModId}}_Annatto,-81,Greens,"raffadax_object, raffadax_fruittrees_object, category_spice"
{{ModId}}_AppleofDiscord,-79,Fruit,"raffadax_object, raffadax_fruittrees_object, raffadax_crafted_object, category_divinefruit"
{{ModId}}_AppleofIdunn,-79,Fruit,"raffadax_object, raffadax_fruittrees_object, raffadax_crafted_object, category_divinefruit"
{{ModId}}_Avocado,-75,Vegetable,"raffadax_object, raffadax_fruittrees_object, category_fruit"
{{ModId}}_Bahidaj,-79,Fruit,"raffadax_object, raffadax_fruittrees_object, forage_item"
{{ModId}}_Baobab,-79,Fruit,"raffadax_object, raffadax_fruittrees_object"
{{ModId}}_BayLeaf,-81,Greens,"raffadax_object, raffadax_fruittrees_object, category_herb"
{{ModId}}_Bearberry,-79,Fruit,"raffadax_object, raffadax_fruittrees_object, category_enchantedfruit"
{{ModId}}_BergamotOrange,-79,Fruit,"raffadax_object, raffadax_fruittrees_object"
{{ModId}}_Bifrost,-80,Flower,"raffadax_object, raffadax_fruittrees_object, category_divineflower"
{{ModId}}_BirchBark,-81,Greens,"raffadax_object, raffadax_fruittrees_object, forage_item, category_medicinalherb"
{{ModId}}_BlackBamboo,-16,Building Resources,"raffadax_object, raffadax_fruittrees_object, forage_item, category_resource"
{{ModId}}_BlackCacaoPod,-81,Greens,"raffadax_object, raffadax_fruittrees_object, category_enchantedpod"
{{ModId}}_BlackCherry,-79,Fruit,"raffadax_object, raffadax_fruittrees_object"
{{ModId}}_BlackCurrants,-79,Fruit,"raffadax_object, raffadax_fruittrees_object"
{{ModId}}_BlackOlive,-75,Vegetable,"olive_object, raffadax_object, raffadax_fruittrees_object"
{{ModId}}_BlackWalnut,-81,Greens,"raffadax_object, raffadax_fruittrees_object, forage_item, category_nut"
{{ModId}}_BlueJavaBanana,-79,Fruit,"raffadax_object, raffadax_fruittrees_object"
{{ModId}}_BlueRaspberry,-79,Fruit,"raffadax_object, raffadax_fruittrees_object, category_enchantedfruit"
{{ModId}}_BrazilNut,-81,Greens,"raffadax_object, raffadax_fruittrees_object, forage_item, category_nut"
{{ModId}}_BuddhasHand,-79,Fruit,"raffadax_object, raffadax_fruittrees_object"
{{ModId}}_CacaoPod,-81,Greens,"raffadax_object, raffadax_fruittrees_object, category_pod"
{{ModId}}_Carambola,-79,Fruit,"raffadax_object, raffadax_fruittrees_object"
{{ModId}}_Cashew,-81,Greens,"raffadax_object, raffadax_fruittrees_object, forage_item, category_nut"
{{ModId}}_CashewApple,-79,Fruit,"raffadax_object, raffadax_fruittrees_object"
{{ModId}}_Chestnut,-81,Greens,"raffadax_object, raffadax_fruittrees_object, forage_item, category_nut"
{{ModId}}_CinchonaBark,-81,Greens,"raffadax_object, raffadax_fruittrees_object, category_medicinalherb"
{{ModId}}_CinnamonBark,-81,Greens,"raffadax_object, raffadax_fruittrees_object, category_spice"
{{ModId}}_CintamaniFlower,-80,Flower,"raffadax_object, raffadax_fruittrees_object, category_divineflower"
{{ModId}}_Clematis,-80,Flower,"raffadax_object, raffadax_fruittrees_object"
{{ModId}}_Clove,-81,Greens,"raffadax_object, raffadax_fruittrees_object, category_spice"
{{ModId}}_CocodeMer,-79,Fruit,"raffadax_object, raffadax_fruittrees_object, forage_item, category_nut"
{{ModId}}_Crabapple,-79,Fruit,"raffadax_object, raffadax_fruittrees_object, forage_item"
{{ModId}}_CurryLeaf,-81,Greens,"raffadax_object, raffadax_fruittrees_object, category_herb"
{{ModId}}_Date,-79,Fruit,"raffadax_object, raffadax_fruittrees_object"
{{ModId}}_DeadMansFingers,-79,Fruit,"raffadax_object, raffadax_fruittrees_object, forage_item"
{{ModId}}_DeepJungleMoss,-80,Flower,"raffadax_object, raffadax_fruittrees_object, category_legendaryherb"
{{ModId}}_Dogwood,-80,Flower,"raffadax_object, raffadax_fruittrees_object"
{{ModId}}_DragonBerry,-79,Fruit,"raffadax_object, raffadax_fruittrees_object, category_legendaryfruit"
{{ModId}}_DragonFruit,-79,Fruit,"raffadax_object, raffadax_fruittrees_object"
{{ModId}}_Durian,-79,Fruit,"raffadax_object, raffadax_fruittrees_object"
{{ModId}}_EbonyWood,-16,Building Resources,"raffadax_object, raffadax_fruittrees_object, category_resource"
{{ModId}}_Elderberry,-79,Fruit,"raffadax_object, raffadax_fruittrees_object, forage_item"
{{ModId}}_Elderflower,-80,Flower,"raffadax_object, raffadax_fruittrees_object"
{{ModId}}_Fig,-79,Fruit,"raffadax_object, raffadax_fruittrees_object"
{{ModId}}_Forsythia,-80,Flower,"raffadax_object, raffadax_fruittrees_object"
{{ModId}}_Foxberry,-79,Fruit,"raffadax_object, raffadax_fruittrees_object, category_enchantedfruit"
{{ModId}}_FruitoftheNetherworld,-79,Fruit,"raffadax_object, raffadax_fruittrees_object, category_divinefruit"
{{ModId}}_GinkgoLeaf,-81,Greens,"raffadax_object, raffadax_fruittrees_object, forage_item, category_medicinalherb"
{{ModId}}_GoldenPlum,-79,Fruit,"raffadax_object, raffadax_fruittrees_object"
{{ModId}}_Grapefruit,-79,Fruit,"raffadax_object, raffadax_fruittrees_object"
{{ModId}}_GrosMichel,-79,Fruit,"raffadax_object, raffadax_fruittrees_object"
{{ModId}}_Guarana,-79,Fruit,"raffadax_object, raffadax_fruittrees_object"
{{ModId}}_Guava,-79,Fruit,"raffadax_object, raffadax_fruittrees_object"
{{ModId}}_HawthornBerry,-79,Fruit,"raffadax_object, raffadax_fruittrees_object, forage_item"
{{ModId}}_HeartsofPalm,-75,Vegetable,"raffadax_object, raffadax_fruittrees_object"
{{ModId}}_Heliconia,-80,Flower,"raffadax_object, raffadax_fruittrees_object, forage_item"
{{ModId}}_Hesperidium,-79,Fruit,"raffadax_object, raffadax_fruittrees_object, category_divinefruit"
{{ModId}}_Hibiscus,-80,Flower,"raffadax_object, raffadax_fruittrees_object, forage_item"
{{ModId}}_Honeyberry,-79,Fruit,"raffadax_object, raffadax_fruittrees_object"
{{ModId}}_HoneycrispApple,-79,Fruit,"raffadax_object, raffadax_fruittrees_object"
{{ModId}}_Honeysuckle,-80,Flower,"raffadax_object, raffadax_fruittrees_object"
{{ModId}}_HuaMoa,-79,Fruit,"raffadax_object, raffadax_fruittrees_object"
{{ModId}}_Huckleberry,-79,Fruit,"raffadax_object, raffadax_fruittrees_object, forage_item"
{{ModId}}_Jabuticaba,-79,Fruit,"raffadax_object, raffadax_fruittrees_object"
{{ModId}}_Jacaranda,-80,Flower,"raffadax_object, raffadax_fruittrees_object"
{{ModId}}_Juniper,-79,Fruit,"raffadax_object, raffadax_fruittrees_object, forage_item"
{{ModId}}_KeyLime,-79,Fruit,"raffadax_object, raffadax_fruittrees_object"
{{ModId}}_Kiwi,-79,Fruit,"raffadax_object, raffadax_fruittrees_object"
{{ModId}}_KolaNut,-81,Greens,"raffadax_object, raffadax_fruittrees_object, category_nut"
{{ModId}}_Kumquat,-79,Fruit,"raffadax_object, raffadax_fruittrees_object"
{{ModId}}_LarahaOrange,-79,Fruit,"raffadax_object, raffadax_fruittrees_object"
{{ModId}}_Lavender,-80,Flower,"raffadax_object, raffadax_fruittrees_object"
{{ModId}}_Lemon,-79,Fruit,"raffadax_object, raffadax_fruittrees_object"
{{ModId}}_Lilac,-80,Flower,"raffadax_object, raffadax_fruittrees_object"
{{ModId}}_Lime,-79,Fruit,"raffadax_object, raffadax_fruittrees_object"
{{ModId}}_Linden,-80,Flower,"raffadax_object, raffadax_fruittrees_object, forage_item"
{{ModId}}_Lychee,-79,Fruit,"raffadax_object, raffadax_fruittrees_object"
{{ModId}}_MacadamiaNut,-81,Greens,"raffadax_object, raffadax_fruittrees_object, forage_item, category_nut"
{{ModId}}_MandarinOrange,-79,Fruit,"raffadax_object, raffadax_fruittrees_object"
