ITEM,Backwoods,BusStop,Farm,FarmCave,Town,Forest,Woods,Sewer,BugLand,Beach,Mountain,Railroad,Mines,WitchSwamp,Desert,IslandNorth,IslandNorthCave1,IslandSouth,IslandWest,IslandEast,IslandSouthEast,IslandShrine,IslandSouthEastCave,Summit,Mine,Volcano
Wolfsbane,All,All,All,,All,All,All,,All,,All,All,,All,,,,,,,,,,All,,
Boxberry,Wi,Wi,Wi,,Wi,Wi,Wi,,,,Wi,Wi,,,,,,,,,,,,Wi,,
Cardinal Feather,Wi (Rare),Wi (Rare),Wi (Rare),,Wi (Rare),Wi (Rare),Wi (Rare),,,,Wi (Rare),Wi (Rare),,,,,,,,,,,,Wi (Rare),,
Chestnut,Wi,Wi,Wi,,Wi,Wi,Wi,,,,Wi,Wi,,,,,,,,,,,,Wi,,
Yarrow Leaf,Wi,Wi,Wi,,Wi,Wi,Wi,,,,Wi,Wi,,,,,,,,,,,,Wi,,
Birch Bark,Wi,Wi,Wi,,Wi,Wi,Wi,,,,Wi,Wi,,,,,,,,,,,,Wi,,
Juniper,Wi,Wi,,,,Wi,Wi,,,,Wi,Wi,,,,,,,,,,,,Wi,,
Mugwort,All,All,All,,All,All,All,,All,,All,All,,All,,,,,,,,,,All,,
Peppermint,Wi,Wi,Wi,,Wi,Wi,Wi,,,,Wi,Wi,,,,,,,,,,,,Wi,,
Periwinkle Flower,Sp Fa Wi (Snow/Storm) (Rare),Sp Fa Wi (Snow/Storm) (Rare),Sp Fa Wi (Snow/Storm) (Rare),,Sp Fa Wi (Snow/Storm) (Rare),Sp Fa Wi (Snow/Storm) (Rare),Sp Fa Wi (Snow/Storm) (Rare),,,,Sp Fa Wi (Snow/Storm) (Rare),Sp Fa Wi (Snow/Storm) (Rare),,,,,,,,,,,,Sp Fa Wi (Snow/Storm) (Rare),,
Spearmint,Wi,Wi,Wi,,Wi,Wi,Wi,,,,Wi,Wi,,,,,,,,,,,,Wi,,
Rowanberry,Wi (Rare),Wi (Rare),Wi (Rare),,Wi (Rare),Wi (Rare),Wi (Rare),,,,Wi (Rare),Wi (Rare),,,,,,,,,,,,Wi (Rare),,
Sloe Plum,Wi,Wi,,,,Wi,Wi,,,,Wi,Wi,,,,,,,,,,,,Wi,,
Yarrow,Wi (Rare),Wi (Rare),Wi (Rare),,Wi (Rare),Wi (Rare),Wi (Rare),,,,Wi (Rare),Wi (Rare),,,,,,,,,,,,Wi (Rare),,
Snow Owl Feather,Wi (Rare),Wi (Rare),Wi (Rare),,Wi (Rare),Wi (Rare),Wi (Rare),,,,Wi (Rare),Wi (Rare),,,,,,,,,,,,Wi (Rare),,
Void Mushroom,All (Rare),All (Rare),All (Rare),All,All (Rare),All (Rare),All (Rare),All (Rare),All,,All (Rare),All (Rare),,All,,,All (Rare),,,,,,,All (Rare),All (Rare),All
Liverwort,All,All,All,,All,All,All,All,All,,All,All,,All,,All,,,All,All,,All,,All,,
Unlucky Clover,All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),,All (Rare),,All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),,All (Rare),,,All (Snow/Storm) (Rare),,,,,,,All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),
Thunder Cap,All (Snow/Storm),All (Snow/Storm),All (Snow/Storm),All (Rare),All (Snow/Storm),All (Snow/Storm),All (Snow/Storm),,,,All (Snow/Storm),All (Snow/Storm),,,,All,All (Rare),,All,All,,All,,All (Snow/Storm),All (Rare),
Witch Hazel,All (Sun) (Rare),All (Sun) (Rare),All (Sun) (Rare),,All (Sun) (Rare),All (Sun) (Rare),All (Sun) (Rare),,,,All (Sun) (Rare),All (Sun) (Rare),,All,,,,,,,,,,All (Sun) (Rare),,
Frost Cap,All (Rare),All (Rare),All (Rare),All (Rare),All (Rare),All (Rare),All (Rare),,,,All (Rare),All (Rare),,,,,All (Rare),,,,,,,All (Rare),All (Rare),
Luminushroom,All (Sun) (Rare),All (Sun) (Rare),All (Sun) (Rare),All (Rare),All (Sun) (Rare),All (Sun),All (Sun) (Rare),,,,All (Sun) (Rare),All (Sun) (Rare),,,All,,All (Rare),,,,,,,All (Sun) (Rare),All (Rare),
Lucky Clover,All (Sun) (Rare),All (Sun) (Rare),All (Sun) (Rare),,All (Sun) (Rare),All (Sun) (Rare),All (Sun) (Rare),,,,All (Sun) (Rare),All (Sun) (Rare),,,,,,,,,,,,All (Sun) (Rare),,
Fire Wheel,All (Sun) (Rare),All (Sun) (Rare),All (Sun) (Rare),,All (Sun) (Rare),All (Sun),All (Sun) (Rare),,,,All (Sun) (Rare),All (Sun) (Rare),,,,All,,,All,All,,All,,All (Sun) (Rare),,All
Gultheria,Wi (Sun) (Rare),Wi (Sun) (Rare),Wi (Sun) (Rare),,Wi (Sun) (Rare),Wi (Sun),Wi (Sun) (Rare),,,,Wi (Sun) (Rare),Wi (Sun) (Rare),,,,,,,,,,,,Wi (Sun) (Rare),,
Holly,Wi (Rare),Wi (Rare),Wi (Rare),,Wi (Rare),Wi (Rare),Wi (Rare),,,,Wi (Rare),Wi (Rare),,,,,,,,,,,,Wi (Rare),,
Mistletoe,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),,,,All (Rare),All (Rare),,All (Rare),,,,,,,,,,All (Rare),,
Poinsettia,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),,,,All (Rare),All (Rare),,,,All,,,All,All,,All,,All (Rare),,
Silver Feather ,All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),,All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),,,All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),,,All (Rare),All (Rare),,All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),All (Rare),All (Snow/Storm) (Rare),All (Rare),,All (Snow/Storm) (Rare),,All (Rare)
Golden Feather ,All (Sun) (Rare),All (Sun) (Rare),All (Sun) (Rare),,All (Sun) (Rare),All (Sun) (Rare),All (Sun) (Rare),,,All (Sun) (Rare),All (Sun) (Rare),All (Sun) (Rare),,,All (Rare),All (Rare),,All (Sun) (Rare),All (Sun) (Rare),All (Rare),All (Sun) (Rare),All (Rare),,All (Sun) (Rare),,All (Rare)
Thunderbird Feather,All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),,All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),,,All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),,,,All (Rare),,All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),All (Rare),All (Snow/Storm) (Rare),All (Rare),,All (Snow/Storm) (Rare),,
Alkonost Feather,All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),,All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),,,All (Rare),All (Snow/Storm) (Rare),All (Snow/Storm) (Rare),,,,All (Rare),,All (Rare),All (Rare),All (Rare),All (Rare),All (Rare),,All (Snow/Storm) (Rare),,
Jackalope Antlers,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),,,,All (Rare),All (Rare),,,All (Rare),,,,,,,,,All (Rare),,
Hellhound Fang,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),,All (Rare),,,,,,,,,,All (Rare),,All (Rare)
Wendigo Antler,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),,All (Rare),,,,,,,,,,All (Rare),,
Werewolf Claw,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),,All (Rare),,,,,,,,,,All (Rare),,
Tulikko Fur,Wi (Rare),Wi (Rare),Wi (Rare),,Wi (Rare),Wi (Rare),Wi (Rare),,Wi (Rare),,Wi (Rare),Wi (Rare),,Wi (Rare),,,,,,,,,,Wi (Rare),,
Iridium Feather,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),All (Rare),All (Rare),,All (Rare),,All (Rare)
Mythril Feather,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),All (Rare),All (Rare),,All (Rare),,All (Rare)
Radioactive Feather,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),All (Rare),All (Rare),,All (Rare),,All (Rare)
Alicorn,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),,,All (Rare),All (Rare),All (Rare),,,All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),All (Rare),All (Rare),,All (Rare),,
Seraph Feather,All (Rare),All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),,,All (Rare),All (Rare),All (Rare),,,All (Rare),All (Rare),,All (Rare),All (Rare),All (Rare),All (Rare),All (Rare),,All (Rare),,All (Rare)
Gull Feather,,,,,,,,,,All,,,,,,,,All (Rare),All (Rare),,All (Rare),,,,,
Kelp,,,,,,,,,,All (Snow/Storm),,,,,,,,All (Snow/Storm),All (Snow/Storm),,All (Snow/Storm),,All,,,
