Output,Machine,Time,Makes,Chance,Input,Fuels
Artemisia Powder,Auto Mill,800,1,1,1 Artemisia Petals,
Blue Lotus Dust,Auto Mill,1600,1,1,1 Blue Lotus Flower,
Blue Lotus Dust,Auto Mill,800,1,1,1 Dried Blue Lotus Flower,
Blue Lotus Dust,Auto Mill,800,1,1,1 Blue Lotus Petals,
Ground Brassica Flower,Auto Mill,1600,1,1,1 Brassica Flower,
Ground Brassica Flower,Auto Mill,800,1,1,1 Dried Brassica Flower,
Ground Brassica Flower,Auto Mill,800,1,1,1 Brassica Flower Petals,
Cactus Blossom Powder,Auto Mill,1600,1,1,1 Cactus Blossom,
Cactus Blossom Powder,Auto Mill,800,1,1,1 Dried Cactus Blossom,
Cactus Blossom Powder,Auto Mill,800,1,1,1 Cactus Blossom Petals,
Ground Caraway Flower,Auto Mill,1600,1,1,1 Caraway Flower,
Caraway Seeds,Auto Mill,1600,1,0.1,1 Caraway Flower,
Caraway Seeds,Auto Mill,1600,1,0.1,1 Caraway Flower,
Ground Caraway Flower,Auto Mill,800,1,1,1 Dried Caraway Flower,
Caraway Seeds,Auto Mill,800,1,0.1,1 Dried Caraway Flower,
Caraway Seeds,Auto Mill,800,1,0.1,1 Dried Caraway Flower,
Ground Caraway Flower,Auto Mill,800,1,1,1 Caraway Flower Petals,
Chamomile Powder,Auto Mill,1600,1,1,1 Chamomile,
Chamomile Powder,Auto Mill,800,1,1,1 Dried Chamomile,
Chamomile Powder,Auto Mill,800,1,1,1 Chamomile Petals,
Ground Chicory Flower,Auto Mill,1600,1,1,1 Chicory Flower,
Ground Chicory Flower,Auto Mill,800,1,1,1 Dried Chicory Flower,
Ground Chicory Flower,Auto Mill,800,1,1,1 Chicory Flower Petals,
Clematis Powder,Auto Mill,1600,1,1,1 Clematis,
Clematis Powder,Auto Mill,800,1,1,1 Dried Clematis,
Clematis Powder,Auto Mill,800,1,1,1 Clematis Petals,
Ground Clover,Auto Mill,1600,1,1,1 Clover,
Ground Clover,Auto Mill,800,1,1,1 Dried Clover,
Ground Clover,Auto Mill,800,1,1,1 Clover Petals,
Ground Coriander Flower,Auto Mill,1600,1,1,1 Coriander Flower,
Ground Coriander Flower,Auto Mill,800,1,1,1 Dried Coriander Flower,
Ground Coriander Flower,Auto Mill,800,1,1,1 Coriander Flower Petals,
Daisy Dust,Auto Mill,1600,1,1,1 Daisy ,
Daisy Dust,Auto Mill,1600,1,1,1 Wild Daisy,
Daisy Dust,Auto Mill,800,1,1,1 Dried Daisy,
Daisy Dust,Auto Mill,800,1,1,1 Dried Wild Daisy,
Daisy Dust,Auto Mill,800,1,1,1 Daisy Petals,
Ground Dogwood,Auto Mill,1600,1,1,1 Dogwood,
Ground Dogwood,Auto Mill,800,1,1,1 Dried Dogwood,
Ground Dogwood,Auto Mill,800,1,1,1 Dogwood Petals,
Ground Elderflower,Auto Mill,1600,1,1,1 Elderflower,
Ground Elderflower,Auto Mill,800,1,1,1 Dried Elderflower,
Ground Elderflower,Auto Mill,800,1,1,1 Elderflower Florets,
Ground Fennel Flower,Auto Mill,1600,1,1,1 Fennel Flower,
Fennel Pollen,Auto Mill,1600,1,0.1,1 Fennel Flower,
Ground Fennel Flower,Auto Mill,800,1,1,1 Dried Fennel Flower,
Fennel Pollen,Auto Mill,800,1,0.1,1 Dried Fennel Flower,
Ground Fennel Flower,Auto Mill,800,1,1,1 Fennel Florets,
Fennel Pollen,Auto Mill,800,1,0.1,1 Fennel Florets,
Ground Fire Wheel,Auto Mill,1600,1,1,1 Fire Wheel,
Ground Fire Wheel,Auto Mill,800,1,1,1 Dried Fire Wheel,
Ground Fire Wheel,Auto Mill,800,1,1,1 Fire Wheel Petals,
Flinders Rose Dust,Auto Mill,1600,1,1,1 Flinders Rose,
Flinders Rose Dust,Auto Mill,800,1,1,1 Dried Flinders Rose,
Flinders Rose Dust,Auto Mill,800,1,1,1 Flinders Rose Petals,
Ground Forsythia,Auto Mill,1600,1,1,1 Forsythia,
Ground Forsythia,Auto Mill,800,1,1,1 Dried Forsythia,
Ground Forsythia,Auto Mill,800,1,1,1 Forsythia Petals,
Ground Foxglove,Auto Mill,1600,1,1,1 Foxglove,
Ground Foxglove,Auto Mill,800,1,1,1 Dried Foxglove,
Ground Foxglove,Auto Mill,800,1,1,1 Foxglove Petals,
Ground Gentian Flower,Auto Mill,1600,1,1,1 Gentian Flower,
Ground Gentian Flower,Auto Mill,800,1,1,1 Dried Gentian Flower,
Ground Gentian Flower,Auto Mill,800,1,1,1 Gentian Petals,
Gultheria Powder,Auto Mill,1600,1,1,1 Gultheria,
Gultheria Powder,Auto Mill,800,1,1,1 Dried Gultheria,
Gultheria Powder,Auto Mill,800,1,1,1 Gultheria Petals,
Ground Hawkweed,Auto Mill,1600,1,1,1 Hawkweed,
Ground Hawkweed,Auto Mill,800,1,1,1 Dried Hawkweed,
Ground Hawkweed,Auto Mill,800,1,1,1 Hawkweed Petals,
Ground Heliconia,Auto Mill,1600,1,1,1 Heliconia,
Ground Heliconia,Auto Mill,800,1,1,1 Dried Heliconia,
Ground Heliconia,Auto Mill,800,1,1,1 Heliconia Petals,
Ground Hibiscus,Auto Mill,1600,1,1,1 Hibiscus,
Ground Hibiscus,Auto Mill,800,1,1,1 Dried Hibiscus,
Ground Hibiscus,Auto Mill,800,1,1,1 Hibiscus Petals,
Honeysuckle Powder,Auto Mill,1600,1,1,1 Honeysuckle,
Honeysuckle Powder,Auto Mill,800,1,1,1 Dried Honeysuckle,
Honeysuckle Powder,Auto Mill,800,1,1,1 Honeysuckle Petals,
Indigo Powder,Auto Mill,1600,1,1,1 Indigo,
Indigo Powder,Auto Mill,800,1,1,1 Dried Indigo,
Indigo Powder,Auto Mill,800,1,1,1 Indigo Flower Petals,
Ground Jacaranda,Auto Mill,1600,1,1,1 Jacaranda,
Ground Jacaranda,Auto Mill,800,1,1,1 Dried Jacaranda,
Ground Jacaranda,Auto Mill,800,1,1,1 Jacaranda Petals,
Ground Lavender,Auto Mill,1600,1,1,1 Lavender,
Ground Lavender,Auto Mill,800,1,1,1 Dried Lavender,
Ground Lavender,Auto Mill,800,1,1,1 Lavender Petals,
Lilac Powder,Auto Mill,1600,1,1,1 Lilac,
Lilac Powder,Auto Mill,800,1,1,1 Dried Lilac,
Lilac Powder,Auto Mill,800,1,1,1 Lilac Florets,
Linden Powder,Auto Mill,1600,1,1,1 Linden,
Linden Powder,Auto Mill,800,1,1,1 Dried Linden,
Linden Powder,Auto Mill,800,1,1,1 Linden Florets,
Ground Mimosa Flower,Auto Mill,1600,1,1,1 Mimosa Flower,
Ground Mimosa Flower,Auto Mill,800,1,1,1 Dried Mimosa Flower,
Ground Mimosa Flower,Auto Mill,800,1,1,1 Mimosa Flower Petals,
Ground Mint Flower,Auto Mill,1600,1,1,1 Mint Flower,
Ground Mint Flower,Auto Mill,800,1,1,1 Dried Mint Flower,
Ground Mint Flower,Auto Mill,800,1,1,1 Mint Flower Petals,
Ground Nettle Blossom,Auto Mill,1600,1,1,1 Nettle Blossom,
Ground Nettle Blossom,Auto Mill,800,1,1,1 Dried Nettle Blossom,
Ground Nettle Blossom,Auto Mill,800,1,1,1 Nettle Blossom Petals,
Nigella Powder,Auto Mill,1600,1,1,1 Nigella,
Black Cumin Seeds,Auto Mill,1600,1,0.1,1 Nigella,
Black Cumin Seeds,Auto Mill,1600,1,0.1,1 Nigella,
Nigella Powder,Auto Mill,800,1,1,1 Dried Nigella,
Black Cumin Seeds,Auto Mill,800,1,0.1,1 Dried Nigella,
Black Cumin Seeds,Auto Mill,800,1,0.1,1 Dried Nigella,
Nigella Powder,Auto Mill,800,1,1,1 Nigella Petals,
Opuntia Powder,Auto Mill,1600,1,1,1 Opuntia Flower,
Opuntia Powder,Auto Mill,800,1,1,1 Dried Opuntia Flower,
Opuntia Powder,Auto Mill,800,1,1,1 Opuntia Flower Petals,
Ground Osmanthus,Auto Mill,1600,1,1,1 Osmanthus,
Ground Osmanthus,Auto Mill,800,1,1,1 Dried Osmanthus,
Ground Osmanthus,Auto Mill,800,1,1,1 Osmanthus Florets,
Passion Flower Powder,Auto Mill,1600,1,1,1 Passion Flower,
Passion Flower Powder,Auto Mill,800,1,1,1 Dried Passion Flower,
Passion Flower Powder,Auto Mill,800,1,1,1 Passion Flower Petals,
Periwinkle Dust,Auto Mill,1600,1,1,1 Periwinkle Flower,
Periwinkle Dust,Auto Mill,800,1,1,1 Dried Periwinkle,
Periwinkle Dust,Auto Mill,800,1,1,1 Periwinkle Petals,
Ground Poinsettia,Auto Mill,1600,1,1,1 Poinsettia,
Ground Poinsettia,Auto Mill,800,1,1,1 Dried Poinsettia,
Ground Poinsettia,Auto Mill,800,1,1,1 Poinsettia Bracts,
Rose Dust,Auto Mill,1600,1,1,1 Rose,
Rose Dust,Auto Mill,800,1,1,1 Dried Rose,
Rose Dust,Auto Mill,800,1,1,1 Rose Petals,
Ground Poinciana,Auto Mill,1600,1,1,1 Royal Poinciana,
Ground Poinciana,Auto Mill,800,1,1,1 Dried Royal Poinciana,
Ground Poinciana,Auto Mill,800,1,1,1 Royal Poinciana Petals,
Sakura Powder,Auto Mill,1600,1,1,1 Sakura,
Sakura Powder,Auto Mill,800,1,1,1 Dried Sakura Blossom,
Sakura Powder,Auto Mill,800,1,1,1 Sakura Petals,
Ground Squash Flower,Auto Mill,1600,1,1,1 Squash Flower,
Ground Squash Flower,Auto Mill,800,1,1,1 Dried Squash Flower,
Ground Squash Flower,Auto Mill,800,1,1,1 Squash Flower Petals,
Jasmine Powder,Auto Mill,1600,1,1,1 Star Jasmine,
Jasmine Powder,Auto Mill,800,1,1,1 Dried Jasmine,
Jasmine Powder,Auto Mill,800,1,1,1 Jasmine Petals,
Topinambur Powder,Auto Mill,1600,1,1,1 Topinambur,
Topinambur Powder,Auto Mill,800,1,1,1 Dried Topinambur Flower,
Topinambur Powder,Auto Mill,800,1,1,1 Topinambur Petals,
Ground Vanilla Orchid,Auto Mill,1600,1,1,1 Vanilla Orchid,
Ground Vanilla Orchid,Auto Mill,800,1,1,1 Dried Vanilla Orchid,
Ground Vanilla Orchid,Auto Mill,800,1,1,1 Vanilla Orchid Petals,
Ground Violet,Auto Mill,1600,1,1,1 Violet ,
Ground Violet,Auto Mill,1600,1,1,1 Wild Violet,
Ground Violet,Auto Mill,800,1,1,1 Dried Violet,
Ground Violet,Auto Mill,800,1,1,1 Dried Wild Violet,
Ground Violet,Auto Mill,800,1,1,1 Violet Petals,
Waldmeister Powder,Auto Mill,1600,1,1,1 Waldmeister,
Waldmeister Powder,Auto Mill,800,1,1,1 Dried Waldmeister,
Waldmeister Powder,Auto Mill,800,1,1,1 Waldmeister Petals,
Ground Wisteria,Auto Mill,1600,1,1,1 Wisteria,
Ground Wisteria,Auto Mill,800,1,1,1 Dried Wisteria,
Ground Wisteria,Auto Mill,800,1,1,1 Wisteria Petals,
Witch Hazel Powder,Auto Mill,1600,1,1,1 Witch Hazel,
Witch Hazel Powder,Auto Mill,800,1,1,1 Dried Witch Hazel,
Witch Hazel Powder,Auto Mill,800,1,1,1 Witch Hazel Petals,
Wolfsbane Powder,Auto Mill,1600,1,1,1 Wolfsbane,
Wolfsbane Powder,Auto Mill,800,1,1,1 Dried Wolfsbane,
Wolfsbane Powder,Auto Mill,800,1,1,1 Wolfsbane Petals,
Yarrow Powder,Auto Mill,1600,1,1,1 Yarrow,
Yarrow Powder,Auto Mill,800,1,1,1 Dried Yarrow Flower,
Yarrow Powder,Auto Mill,800,1,1,1 Yarrow Flower Petals,
Blue Jazz Powder,Auto Mill,1600,1,1,1 Blue Jazz,
Blue Jazz Powder,Auto Mill,800,1,1,1 Dried Blue Jazz Flower,
Blue Jazz Powder,Auto Mill,800,1,1,1 Blue Jazz Petals,
Ground Crocus,Auto Mill,1600,1,1,1 Crocus,
Saffron,Auto Mill,1600,1,0.2,1 Crocus,
Ground Crocus,Auto Mill,800,1,1,1 Dried Crocus Flower,
Saffron,Auto Mill,800,1,0.1,1 Dried Crocus Flower,
Ground Crocus,Auto Mill,800,1,1,1 Crocus Petals,
Ground Daffodil,Auto Mill,1600,1,1,1 Daffodil,
Ground Daffodil,Auto Mill,800,1,1,1 Dried Daffodil,
Ground Daffodil,Auto Mill,800,1,1,1 Daffodil Petals,
Ground Dandelion,Auto Mill,1600,1,1,1 Dandelion,
Dandelion Seeds,Auto Mill,1600,1,0.1,1 Dandelion,
Ground Dandelion,Auto Mill,800,1,1,1 Dried Dandelion Flower,
Dandelion Seeds,Auto Mill,800,1,0.1,1 Dried Dandelion Flower,
Ground Dandelion,Auto Mill,800,1,1,1 Dandelion Petals,
Fairy Rose Powder,Auto Mill,1600,1,1,1 Fairy Rose,
Fairy Rose Powder,Auto Mill,800,1,1,1 Dried Fairy Rose,
Fairy Rose Powder,Auto Mill,800,1,1,1 Fairy Rose Petals,
Ground Poppy Flower,Auto Mill,1600,1,1,1 Poppy,
Poppy Seeds,Auto Mill,1600,1,0.1,1 Poppy,
Poppy Seeds,Auto Mill,1600,1,0.1,1 Poppy,
Ground Poppy Flower,Auto Mill,800,1,1,1 Dried Poppy Flower,
Poppy Seeds,Auto Mill,800,1,0.1,1 Dried Poppy Flower,
Poppy Seeds,Auto Mill,800,1,0.1,1 Dried Poppy Flower,
Ground Poppy Flower,Auto Mill,800,1,1,1 Poppy Flower Petals,
Ground Summer Spangle,Auto Mill,1600,1,1,1 Summer Spangle,
Ground Summer Spangle,Auto Mill,800,1,1,1 Dried Summer Spangle,
Ground Summer Spangle,Auto Mill,800,1,1,1 Summer Spangle Petals,
Ground Sunflower,Auto Mill,1600,1,1,1 Sunflower,
Sunflower Seeds,Auto Mill,1600,1,0.1,1 Sunflower,
Sunflower Seeds,Auto Mill,1600,1,0.1,1 Sunflower,
Ground Sunflower,Auto Mill,800,1,1,1 Dried Sunflower,
Sunflower Seeds,Auto Mill,800,1,0.1,1 Dried Sunflower,
Ground Sunflower,Auto Mill,800,1,1,1 Sunflower Petals,
Sweet Pea Powder,Auto Mill,1600,1,1,1 Sweet Pea,
Sweet Pea Powder,Auto Mill,800,1,1,1 Dried Sweet Pea,
Sweet Pea Powder,Auto Mill,800,1,1,1 Sweet Pea Petals,
Ground Tulip,Auto Mill,1600,1,1,1 Tulip,
Ground Tulip,Auto Mill,800,1,1,1 Dried Tulip,
Ground Tulip,Auto Mill,800,1,1,1 Tulip Petals,
Powdered Basil,Auto Mill,1600,1,1,1 Basil,
Powdered Basil,Auto Mill,800,1,1,1 Dried Basil,
Powdered Basil,Auto Mill,800,1,1,1 Basil Flakes,
Bay Leaf Powder,Auto Mill,1600,1,1,1 Bay Leaf,
Bay Leaf Powder,Auto Mill,800,1,1,1 Dried Bay Leaf,
Bay Leaf Powder,Auto Mill,800,1,1,1 Bay Leaves ,
Chervil Powder,Auto Mill,1600,1,1,1 Chervil,
Chervil Powder,Auto Mill,800,1,1,1 Dried Chervil,
Chervil Powder,Auto Mill,800,1,1,1 Chervil Flakes,
Ground Chicory,Auto Mill,1600,1,1,1 Chicory,
Ground Chicory Root,Auto Mill,1600,1,1,1 Chicory Root,
Chive Powder,Auto Mill,1600,1,1,1 Chives,
Chive Powder,Auto Mill,800,1,1,1 Dried Chives,
Chive Powder,Auto Mill,800,1,1,1 Chive Flakes,
Cilantro Powder,Auto Mill,1600,1,1,1 Cilantro,
Cilantro Powder,Auto Mill,800,1,1,1 Dried Cilantro,
Cilantro Powder,Auto Mill,800,1,1,1 Cilantro Flakes,
Powdered Curry Leaf,Auto Mill,1600,1,1,1 Curry Leaf,
Powdered Curry Leaf,Auto Mill,800,1,1,1 Dried Curry Leaf,
Powdered Curry Leaf,Auto Mill,800,1,1,1 Curry Leaves,
Powdered Dill,Auto Mill,1600,1,1,1 Dill,
Powdered Dill,Auto Mill,800,1,1,1 Dried Dill,
Powdered Dill,Auto Mill,800,1,1,1 Dill Weed,
Fenugreek Powder,Auto Mill,1600,1,1,1 Fenugreek,
Fenugreek Powder,Auto Mill,800,1,1,1 Dried Fenugreek,
Fenugreek Powder,Auto Mill,800,1,1,1 Fenugreek Leaves,
Lemongrass Powder,Auto Mill,1600,1,1,1 Lemongrass,
Lemongrass Powder,Auto Mill,800,1,1,1 Dried Lemongrass,
Powdered Marjoram,Auto Mill,1600,1,1,1 Marjoram,
Powdered Marjoram,Auto Mill,800,1,1,1 Dried Marjoram,
Powdered Marjoram,Auto Mill,800,1,1,1 Marjoram Leaves,
Oregano Powder,Auto Mill,1600,1,1,1 Oregano,
Oregano Powder,Auto Mill,800,1,1,1 Dried Oregano,
Oregano Powder,Auto Mill,800,1,1,1 Oregano Flakes,
Powdered Parsley,Auto Mill,1600,1,1,1 Parsley,
Powdered Parsley,Auto Mill,800,1,1,1 Dried Parsley,
Powdered Parsley,Auto Mill,800,1,1,1 Parsley Flakes,
Peppermint Powder,Auto Mill,1600,1,1,1 Peppermint,
Peppermint Powder,Auto Mill,800,1,1,1 Dried Peppermint,
Powdered Rosemary,Auto Mill,1600,1,1,1 Rosemary,
Powdered Rosemary,Auto Mill,800,1,1,1 Dried Rosemary,
Powdered Rosemary,Auto Mill,800,1,1,1 Rosemary Needles,
Powdered Sage,Auto Mill,1600,1,1,1 Sage,
Powdered Sage,Auto Mill,800,1,1,1 Dried Sage,
Powdered Sage,Auto Mill,800,1,1,1 Sage Leaves,
Powdered Savory,Auto Mill,1600,1,1,1 Savory,
Powdered Savory,Auto Mill,800,1,1,1 Dried Savory,
Powdered Savory,Auto Mill,800,1,1,1 Savory Leaves,
Shiso Powder,Auto Mill,1600,1,1,1 Shiso Leaf,
Shiso Powder,Auto Mill,800,1,1,1 Dried Shiso Leaf,
Shiso Powder,Auto Mill,800,1,1,1 Shiso Flakes,
Spearmint Powder,Auto Mill,1600,1,1,1 Spearmint,
Spearmint Powder,Auto Mill,800,1,1,1 Dried Spearmint,
Tarragon Powder,Auto Mill,1600,1,1,1 Tarragon,
Tarragon Powder,Auto Mill,800,1,1,1 Dried Tarragon,
Tarragon Powder,Auto Mill,800,1,1,1 Tarragon Leaves,
Powdered Thyme,Auto Mill,1600,1,1,1 Thyme,
Powdered Thyme,Auto Mill,800,1,1,1 Dried Thyme,
Powdered Thyme,Auto Mill,800,1,1,1 Thyme Leaves,
Pipe Tobacco,Auto Mill,1600,1,1,1 Tobacco ,
Wintergreen Powder,Auto Mill,1600,1,1,1 Wintergreen,
Wintergreen Powder,Auto Mill,800,1,1,1 Dried Wintergreen,
Woodruff Powder,Auto Mill,1600,1,1,1 Woodruff,
Woodruff Powder,Auto Mill,800,1,1,1 Dried Woodruff,
Powdered Yarrow,Auto Mill,1600,1,1,1 Yarrow Leaf,
Powdered Yarrow,Auto Mill,800,1,1,1 Dried Yarrow Leaf,
Cactus Powder,Auto Mill,1600,1,1,1 Cactus Fruit,
Fiddlehead Fern Powder,Auto Mill,1600,1,1,1 Fiddlehead Fern,
Leek Flakes,Auto Mill,1600,1,1,1 Leek,
Ground Allspice,Auto Mill,800,1,1,1 Allspice,
Ground Allspice,Auto Mill,800,1,1,1 Allspice ,
Annatto Powder,Auto Mill,1600,1,1,1 Annatto,
Annatto Powder,Auto Mill,1600,1,1,1 Annatto Seeds,
Ground Cumin Seed,Auto Mill,1600,1,1,1 Black Cumin Seeds,
Ground Cumin Seed,Auto Mill,1600,1,1,1 Cumin Seed,
Ground Black Pepper,Auto Mill,1600,1,1,1 Black Peppercorns,
Ground Black Pepper,Auto Mill,1600,1,1,1 Whole Black Peppercorn,
Crushed Sesame,Auto Mill,1600,1,1,1 Black Sesame Seeds,
Crushed Sesame,Auto Mill,1600,1,1,1 Black Sesame Seed,
Caraway Powder,Auto Mill,1600,1,1,1 Caraway Seeds,
Caraway Powder,Auto Mill,1600,1,1,1 Caraway Seed,
Ground Cayenne Pepper,Auto Mill,1600,1,1,1 Cayenne Pepper,
Ground Celery Seed,Auto Mill,1600,1,1,1 Celery Seeds,
Ground Celery Seed,Auto Mill,1600,1,1,1 Celery Seed,
Chipotle Chili Powder,Auto Mill,1600,1,1,1 Chipotle Pepper,
Ground Coriander,Auto Mill,1600,1,1,1 Cilantro Seeds,
Ground Cinnamon,Auto Mill,1600,1,1,1 Cinnamon Bark,
