Item,NPCs
Apple of Idunn,"Amanra, Astrid, Claire, Andy, Apples, Beatrice, Eloise, Gregory, GuntherSilvian, Hekate, Hephaestus, Jacob, MarlonFay, Martin, Morgan, MorrisTod, Olivia, Sheila, Sophia, Susan, Victor, Wednesday, Alecto, Coyote, Mephisto, Puck, Shuck, Alex, Emily, Haley, Sandy, Abigail, Caroline, Clint, Demetrius, Dwarf, Elliott, Evelyn, George, Gus, Harvey, Jas, Jodi, Kent, Krobus, Leah, Leo, Lewis, Linus, Marnie, Maru, Pam, Penny, Pierre, Robin, Sam, Sebastian, Shane, Vincent, Willy, Wizard, Xolotl"
Bearberry ,"Amanra, Astrid, Andy, Apples, Gregory, Hekate, Hephaestus, Morgan, Sheila, Sophia, Alecto, Mephisto, Puck, Shuck, Abigail, Clint, Dwarf, Kent, Leo, Linus, Marnie, Willy, Wizard, Xolotl"
Bifrost,"Amanra, Astrid, Claire, Andy, Apples, Beatrice, Eloise, Gregory, GuntherSilvian, Hekate, Jacob, MarlonFay, Martin, Morgan, MorrisTod, Olivia, Sheila, Sophia, Susan, Victor, Alecto, Coyote, Mephisto, Puck, Shuck, Alex, Emily, Haley, Sandy, Abigail, Caroline, Clint, Demetrius, Dwarf, Elliott, Evelyn, George, Gus, Harvey, Jas, Jodi, Kent, Leah, Leo, Lewis, Linus, Marnie, Maru, Pam, Penny, Pierre, Robin, Sam, Shane, Vincent, Willy, Wizard, Xolotl"
Cintamani Flower,"Amanra, Astrid, Claire, Andy, Apples, Beatrice, Eloise, Gregory, GuntherSilvian, Hekate, Jacob, MarlonFay, Martin, Morgan, MorrisTod, Olivia, Sheila, Sophia, Susan, Victor, Alecto, Coyote, Mephisto, Puck, Shuck, Alex, Emily, Haley, Sandy, Abigail, Caroline, Clint, Demetrius, Dwarf, Elliott, Evelyn, George, Gus, Harvey, Jas, Jodi, Kent, Leah, Leo, Lewis, Linus, Marnie, Maru, Pam, Penny, Pierre, Robin, Sam, Shane, Vincent, Willy, Wizard, Xolotl"
Deep Jungle Moss,"Amanra, Astrid, Apples, Hekate, Hephaestus, MarlonFay, Morgan, Alecto, Coyote, Mephisto, Puck, Shuck, Emily, Dwarf, Harvey, Krobus, Maru, Wizard, Xolotl"
Dragon Berry,"Amanra, Astrid, Claire, Andy, Apples, Beatrice, Eloise, Gregory, GuntherSilvian, Hekate, Hephaestus, Jacob, MarlonFay, Martin, Morgan, MorrisTod, Olivia, Sheila, Sophia, Susan, Victor, Wednesday, Alecto, Coyote, Mephisto, Puck, Shuck, Alex, Emily, Haley, Sandy, Abigail, Caroline, Clint, Demetrius, Dwarf, Elliott, Evelyn, George, Gus, Harvey, Jas, Jodi, Kent, Krobus, Leah, Leo, Lewis, Linus, Marnie, Maru, Pam, Penny, Pierre, Robin, Sam, Sebastian, Shane, Vincent, Willy, Wizard, Xolotl"
Foxberry,"Amanra, Astrid, Apples, Gregory, Hekate, Hephaestus, MarlonFay, Morgan, Alecto, Coyote, Mephisto, Puck, Shuck, Alex, Abigail, Clint, Dwarf, Kent, Leo, Linus, Sam, Wizard, Xolotl"
Fruit of the Netherworld,"Amanra, Astrid, Hekate, Hephaestus, Morgan, Wednesday, Alecto, Coyote, Mephisto, Puck, Shuck, Dwarf, Krobus, Wizard, Xolotl"
Hesperidium,"Amanra, Astrid, Claire, Andy, Beatrice, Gregory, GuntherSilvian, Hekate, Hephaestus, Jacob, MarlonFay, MorrisTod, Olivia, Sheila, Sophia, Susan, Victor, Wednesday, Alecto, Coyote, Mephisto, Puck, Shuck, Alex, Emily, Haley, Sandy, Abigail, Caroline, Clint, Demetrius, Dwarf, Elliott, Evelyn, George, Gus, Harvey, Jodi, Kent, Krobus, Leah, Lewis, Linus, Marnie, Maru, Pam, Pierre, Robin, Sam, Sebastian, Shane, Willy, Wizard, Xolotl"
Moonberry,"Amanra, Astrid, Claire, Andy, Apples, Beatrice, Eloise, Gregory, GuntherSilvian, Hekate, Hephaestus, Jacob, MarlonFay, Martin, Morgan, MorrisTod, Olivia, Sheila, Sophia, Susan, Victor, Wednesday, Alecto, Coyote, Mephisto, Puck, Shuck, Alex, Emily, Haley, Sandy, Abigail, Caroline, Clint, Demetrius, Dwarf, Elliott, Evelyn, George, Gus, Harvey, Jas, Jodi, Kent, Krobus, Leah, Leo, Lewis, Linus, Marnie, Maru, Pam, Penny, Pierre, Robin, Sam, Sebastian, Shane, Vincent, Willy, Wizard, Xolotl"
Poison Apple,"Amanra, Astrid, Hekate, Hephaestus, Morgan, Wednesday, Alecto, Coyote, Mephisto, Puck, Shuck, Dwarf, Krobus, Wizard, Xolotl"
Polar Berry,"Amanra, Astrid, Claire, Andy, Apples, Beatrice, Eloise, Gregory, GuntherSilvian, Hekate, Hephaestus, Jacob, MarlonFay, Martin, Morgan, MorrisTod, Olivia, Sheila, Sophia, Susan, Victor, Wednesday, Alecto, Coyote, Mephisto, Puck, Shuck, Alex, Emily, Haley, Sandy, Abigail, Caroline, Clint, Demetrius, Dwarf, Elliott, Evelyn, George, Gus, Harvey, Jas, Jodi, Kent, Krobus, Leah, Leo, Lewis, Linus, Marnie, Maru, Pam, Penny, Pierre, Robin, Sam, Sebastian, Shane, Vincent, Willy, Wizard, Xolotl"
Rose of Avalon,"Amanra, Astrid, Claire, Andy, Apples, Beatrice, Eloise, Gregory, GuntherSilvian, Hekate, Hephaestus, Jacob, MarlonFay, Martin, Morgan, MorrisTod, Olivia, Sheila, Sophia, Susan, Victor, Wednesday, Alecto, Coyote, Mephisto, Puck, Shuck, Alex, Emily, Haley, Sandy, Abigail, Caroline, Clint, Demetrius, Dwarf, Elliott, Evelyn, George, Gus, Harvey, Jas, Jodi, Kent, Krobus, Leah, Leo, Lewis, Linus, Marnie, Maru, Pam, Penny, Pierre, Robin, Sam, Sebastian, Shane, Vincent, Willy, Wizard, Xolotl"
Stardrop ,"Amanra, Claire, Andy, Beatrice, Eloise, Gregory, GuntherSilvian, Hekate, Hephaestus, Jacob, MarlonFay, Martin, MorrisTod, Olivia, Sheila, Sophia, Susan, Victor, Wednesday, Alecto, Puck, Shuck, Alex, Emily, Haley, Sandy, Abigail, Caroline, Clint, Demetrius, Dwarf, Elliott, Evelyn, George, Gus, Harvey, Jas, Jodi, Kent, Krobus, Leah, Leo, Lewis, Linus, Marnie, Maru, Pam, Penny, Pierre, Robin, Sam, Sebastian, Shane, Vincent, Willy, Wizard, Xolotl"
Summer Starberry,"Amanra, Astrid, Claire, Andy, Apples, Beatrice, Eloise, Gregory, GuntherSilvian, Hekate, Hephaestus, Jacob, MarlonFay, Martin, Morgan, MorrisTod, Olivia, Sheila, Sophia, Susan, Victor, Wednesday, Alecto, Coyote, Mephisto, Puck, Shuck, Alex, Emily, Haley, Sandy, Abigail, Caroline, Clint, Demetrius, Dwarf, Elliott, Evelyn, George, Gus, Harvey, Jas, Jodi, Kent, Krobus, Leah, Leo, Lewis, Linus, Marnie, Maru, Pam, Penny, Pierre, Robin, Sam, Sebastian, Shane, Vincent, Willy, Wizard, Xolotl"
Sunberry,"Amanra, Astrid, Claire, Andy, Apples, Beatrice, Eloise, Gregory, GuntherSilvian, Hekate, Jacob, MarlonFay, Martin, Morgan, MorrisTod, Olivia, Sheila, Sophia, Susan, Victor, Alecto, Coyote, Mephisto, Puck, Shuck, Alex, Emily, Haley, Sandy, Abigail, Caroline, Clint, Demetrius, Dwarf, Elliott, Evelyn, George, Gus, Harvey, Jas, Jodi, Kent, Leah, Leo, Lewis, Linus, Marnie, Maru, Pam, Penny, Pierre, Robin, Sam, Shane, Vincent, Willy, Wizard, Xolotl"
Vakkhic Grape,"Amanra, Astrid, Claire, Andy, Beatrice, Gregory, GuntherSilvian, Hekate, Hephaestus, Jacob, MarlonFay, MorrisTod, Olivia, Sheila, Sophia, Susan, Victor, Wednesday, Alecto, Coyote, Mephisto, Puck, Shuck, Alex, Emily, Haley, Sandy, Abigail, Caroline, Clint, Demetrius, Dwarf, Elliott, Evelyn, George, Gus, Harvey, Jodi, Kent, Krobus, Leah, Lewis, Linus, Marnie, Maru, Pam, Pierre, Robin, Sam, Sebastian, Shane, Willy, Wizard, Xolotl"
Winter Starberry,"Amanra, Astrid, Claire, Andy, Apples, Beatrice, Eloise, Gregory, GuntherSilvian, Hekate, Hephaestus, Jacob, MarlonFay, Martin, Morgan, MorrisTod, Olivia, Sheila, Sophia, Susan, Victor, Wednesday, Alecto, Coyote, Mephisto, Puck, Shuck, Alex, Emily, Haley, Sandy, Abigail, Caroline, Clint, Demetrius, Dwarf, Elliott, Evelyn, George, Gus, Harvey, Jas, Jodi, Kent, Krobus, Leah, Leo, Lewis, Linus, Marnie, Maru, Pam, Penny, Pierre, Robin, Sam, Sebastian, Shane, Vincent, Willy, Wizard, Xolotl"
Wolfberry,"Amanra, Astrid, Apples, Gregory, Hekate, Hephaestus, MarlonFay, Morgan, Wednesday, Alecto, Coyote, Mephisto, Puck, Shuck, Alex, Abigail, Dwarf, Kent, Krobus, Leo, Linus, Wizard, Xolotl"
Yateveo,"Amanra, Astrid, Claire, Andy, Beatrice, Gregory, GuntherSilvian, Hekate, Hephaestus, Jacob, MarlonFay, MorrisTod, Olivia, Sheila, Sophia, Susan, Victor, Wednesday, Alecto, Coyote, Mephisto, Puck, Shuck, Alex, Emily, Haley, Sandy, Abigail, Caroline, Clint, Demetrius, Dwarf, Elliott, Evelyn, George, Gus, Harvey, Jodi, Kent, Krobus, Leah, Lewis, Linus, Marnie, Maru, Pam, Pierre, Robin, Sam, Sebastian, Shane, Willy, Wizard, Xolotl"
Zaminkand,"Amanra, Astrid, Hekate, Hephaestus, Morgan, Wednesday, Alecto, Coyote, Mephisto, Puck, Shuck, Dwarf, Krobus, Wizard, Xolotl"
6-Below,"Amanra, Astrid, Hekate, Hephaestus, Wednesday, Alecto, Coyote, Mephisto, Puck, Shuck, Dwarf, Krobus, Wizard, Xolotl"
Absinthe,"Amanra, Astrid, Hekate, Alecto, Sheila, Coyote, Mephisto, Puck, Shuck, Wizard, Linus, Pam, Xolotl"
Abyssal Brandy,"Amanra, Astrid, Hekate, Hephaestus, Wednesday, Alecto, Coyote, Mephisto, Puck, Shuck, Dwarf, Krobus, Wizard, Xolotl"
Abyssal Champagne,"Amanra, Astrid, Hekate, Hephaestus, Wednesday, Alecto, Coyote, Mephisto, Puck, Shuck, Dwarf, Krobus, Wizard, Xolotl"
Abyssal Fabric,"Amanra, Astrid, Hekate, Hephaestus, Wednesday, Alecto, Morgan, Coyote, Mephisto, Puck, Shuck, Dwarf, Krobus, Wizard, Xolotl"
Abyssal Kombucha,"Amanra, Astrid, Hekate, Hephaestus, Wednesday, Alecto, Coyote, Mephisto, Puck, Shuck, Krobus, Wizard, Xolotl"
Abyssal Sand,"Amanra, Astrid, Hekate, Hephaestus, Wednesday, Alecto, Morgan, Coyote, Mephisto, Puck, Shuck, Dwarf, Krobus, Wizard, Emily, Xolotl"
Abyssal Wine,"Amanra, Astrid, Hekate, Hephaestus, Wednesday, Alecto, Coyote, Mephisto, Puck, Shuck, Dwarf, Krobus, Wizard, Xolotl"
Acai Brandy,"Amanra, Astrid, Hekate, Claire, Coyote, Mephisto, Puck, Shuck, Alex, Emily, Haley, Harvey, Leah, Sandy, Xolotl"
Acai Liqueur,"Amanra, Astrid, Hekate, Hephaestus, Andy, Claire, Coyote, Mephisto, Puck, Shuck, Alex, Emily, Gus, Haley, Kent, Lewis, Linus, Pam, Sam, Sandy, Shane, Xolotl"
Acai Port Wine,"Amanra, Astrid, Hekate, Claire, Coyote, Mephisto, Puck, Shuck, Alex, Emily, Haley, Harvey, Leah, Sandy, Xolotl"
Acai Wine,"Amanra, Astrid, Hekate, Claire, Coyote, Mephisto, Puck, Shuck, Alex, Emily, Haley, Harvey, Leah, Sandy, Xolotl"
Acorn Kombucha,"Amanra, Astrid, Hephaestus, Coyote, Mephisto, Puck, Shuck, Dwarf, Krobus, Xolotl"
Acorn Liqueur,"Amanra, Astrid, Hekate, Hephaestus, Andy, Claire, GuntherSilvian, MarlonFay, Coyote, Mephisto, Puck, Shuck, Dwarf, Alex, Caroline, Gus, Kent, Lewis, Linus, Pam, Sam, Shane, Xolotl"
Aether,"Amanra, Astrid, Hekate, Hephaestus, Alecto, Morgan, Coyote, Mephisto, Puck, Shuck, Dwarf, Krobus, Wizard, Xolotl"
Agave Kombucha,"Amanra, Astrid, Coyote, Mephisto, Puck, Shuck, Alex, Demetrius, Emily, Haley, Harvey, Kent, Leah, Lewis, Maru, Xolotl"
Aguapanela Kombucha,"Amanra, Astrid, Apples, Coyote, Mephisto, Puck, Shuck, Xolotl"
Akvavit,"Amanra, Astrid, Hekate, Hephaestus, Alecto, Beatrice, Claire, Gregory, GuntherSilvian, MorrisTod, Olivia, Victor, Coyote, Mephisto, Puck, Shuck, Dwarf, Wizard, Abigail, Alex, Caroline, Evelyn, Gus, Harvey, Kent, Lewis, Sandy, Willy, Xolotl"
Alicorn,"Amanra, Astrid, Hekate, Alecto, Morgan, Andy, Apples, Beatrice, Claire, Eloise, Gregory, GuntherSilvian, Jacob, MarlonFay, Martin, MorrisTod, Olivia, Sheila, Sophia, Susan, Victor, Coyote, Mephisto, Puck, Shuck, Dwarf, Wizard, Abigail, Alex, Caroline, Clint, Demetrius, Elliott, Emily, Evelyn, George, Gus, Haley, Harvey, Jas, Jodi, Kent, Leah, Leo, Lewis, Linus, Marnie, Maru, Pam, Penny, Pierre, Robin, Sam, Sandy, Shane, Vincent, Willy, Xolotl"
Alkahest,"Amanra, Hekate, Hephaestus, Alecto, Puck, Shuck, Dwarf, Krobus, Wizard, Abigail, Xolotl"
Alkonost Feather,"Amanra, Astrid, Hekate, Hephaestus, Wednesday, Alecto, Morgan, Andy, Apples, Beatrice, Claire, Eloise, Gregory, GuntherSilvian, Jacob, MarlonFay, Martin, MorrisTod, Olivia, Sheila, Sophia, Susan, Victor, Coyote, Mephisto, Puck, Shuck, Dwarf, Krobus, Wizard, Sebastian, Abigail, Alex, Caroline, Clint, Demetrius, Elliott, Emily, Evelyn, George, Gus, Haley, Harvey, Jas, Jodi, Kent, Leah, Leo, Lewis, Linus, Marnie, Maru, Pam, Penny, Pierre, Robin, Sam, Sandy, Shane, Vincent, Willy, Xolotl"
Allium Balsam,"Amanra, Astrid, Andy, Coyote, Mephisto, Puck, Shuck, Pam, Willy, Xolotl"
Allium Brandy,"Amanra, Astrid, Hekate, Alecto, Beatrice, Sheila, Coyote, Mephisto, Puck, Shuck, Wizard, Linus, Pam, Xolotl"
Allium Flower Liqueur,"Amanra, Astrid, Hekate, Alecto, Sheila, Coyote, Mephisto, Puck, Shuck, Wizard, Linus, Pam, Xolotl"
Allium Kombucha,"Amanra, Astrid, Hekate, Alecto, Claire, Coyote, Mephisto, Puck, Shuck, Wizard, Abigail, Caroline, Evelyn, Haley, Lewis, Sandy, Xolotl"
Allium Mead,"Amanra, Astrid, Andy, Coyote, Mephisto, Puck, Shuck, Pam, Willy, Xolotl"
Allium Nectar,"Amanra, Astrid, Hephaestus, Alecto, Andy, Gregory, Coyote, Mephisto, Puck, Shuck, Dwarf, Wizard, Linus, Marnie, Pam, Willy, Xolotl"
Allium Port Mead,"Amanra, Astrid, Andy, Coyote, Mephisto, Puck, Shuck, Pam, Willy, Xolotl"
Allium Port Wine,"Amanra, Astrid, Hekate, Alecto, Beatrice, Sheila, Coyote, Mephisto, Puck, Shuck, Wizard, Linus, Pam, Xolotl"
Allium Wine,"Amanra, Astrid, Hekate, Alecto, Beatrice, Sheila, Coyote, Mephisto, Puck, Shuck, Wizard, Linus, Pam, Xolotl"
Allspice Brandy,"Amanra, Astrid, Hekate, Beatrice, Olivia, Susan, Coyote, Mephisto, Puck, Shuck, Evelyn, Gus, Harvey, Leah, Pierre, Xolotl"
Allspice Kombucha,"Amanra, Astrid, Beatrice, Claire, Susan, Coyote, Mephisto, Puck, Shuck, Dwarf, Abigail, Caroline, Evelyn, Harvey, Lewis, Sandy, Xolotl"
Allspice Liqueur,"Amanra, Astrid, Hekate, Hephaestus, Alecto, Beatrice, Claire, Gregory, GuntherSilvian, MorrisTod, Olivia, Victor, Coyote, Mephisto, Puck, Shuck, Dwarf, Wizard, Abigail, Alex, Caroline, Evelyn, Gus, Harvey, Kent, Lewis, Sandy, Willy, Xolotl"
Allspice Port Wine,"Amanra, Astrid, Hekate, Beatrice, Olivia, Susan, Coyote, Mephisto, Puck, Shuck, Evelyn, Gus, Harvey, Leah, Pierre, Xolotl"
Allspice Wine,"Amanra, Astrid, Hekate, Beatrice, Olivia, Susan, Coyote, Mephisto, Puck, Shuck, Evelyn, Gus, Harvey, Leah, Pierre, Xolotl"
Almond Kombucha,"Amanra, Astrid, Hephaestus, Claire, GuntherSilvian, MarlonFay, Coyote, Mephisto, Puck, Shuck, Dwarf, Alex, Caroline, Lewis, Linus, Xolotl"
Aloe Kombucha,"Amanra, Astrid, Coyote, Mephisto, Puck, Shuck, Alex, Demetrius, Emily, Haley, Harvey, Kent, Leah, Lewis, Maru, Xolotl"
Amanita Kombucha,"Amanra, Astrid, Hekate, Hephaestus, Wednesday, Alecto, Coyote, Mephisto, Puck, Shuck, Dwarf, Krobus, Wizard, Xolotl"
Amaretto,"Amanra, Astrid, Hekate, Hephaestus, Andy, Claire, GuntherSilvian, MarlonFay, Coyote, Mephisto, Puck, Shuck, Dwarf, Alex, Caroline, Gus, Kent, Lewis, Linus, Pam, Sam, Shane, Xolotl"
Amaro,"Amanra, Astrid, Hekate, Hephaestus, Olivia, Coyote, Mephisto, Puck, Shuck, Dwarf, Krobus, Gus, Lewis, Linus, Pam, Shane, Xolotl"
Amaterasu Wine,"Amanra, Astrid, Hekate, Hephaestus, Wednesday, Alecto, Andy, Apples, Beatrice, Claire, Gregory, GuntherSilvian, Jacob, MarlonFay, MorrisTod, Olivia, Sheila, Sophia, Susan, Victor, Coyote, Mephisto, Puck, Shuck, Dwarf, Krobus, Wizard, Abigail, Alex, Caroline, Clint, Demetrius, Elliott, Emily, Evelyn, George, Gus, Haley, Harvey, Jodi, Kent, Leah, Lewis, Linus, Marnie, Maru, Pam, Pierre, Robin, Sam, Sandy, Shane, Willy, Xolotl"
Amber Ale,"Amanra, Astrid, Andy, Gregory, Coyote, Mephisto, Puck, Shuck, Pam, Shane, Xolotl"
Ambrosia,"Amanra, Astrid, Hekate, Hephaestus, Wednesday, Alecto, Andy, Apples, Beatrice, Claire, Gregory, GuntherSilvian, Jacob, MarlonFay, MorrisTod, Olivia, Sheila, Sophia, Susan, Victor, Coyote, Mephisto, Puck, Shuck, Dwarf, Krobus, Wizard, Abigail, Alex, Caroline, Clint, Demetrius, Elliott, Emily, Evelyn, George, Gus, Haley, Harvey, Jodi, Kent, Leah, Lewis, Linus, Marnie, Maru, Pam, Pierre, Robin, Sam, Sandy, Shane, Willy, Xolotl"
Amrita,"Amanra, Hekate, Hephaestus, Wednesday, Alecto, Andy, Beatrice, Claire, Gregory, GuntherSilvian, Jacob, MarlonFay, MorrisTod, Olivia, Sheila, Sophia, Susan, Victor, Puck, Shuck, Dwarf, Krobus, Wizard, Abigail, Alex, Caroline, Clint, Demetrius, Elliott, Emily, Evelyn, George, Gus, Haley, Harvey, Jodi, Kent, Leah, Lewis, Linus, Marnie, Maru, Pam, Pierre, Robin, Sam, Sandy, Shane, Willy, Xolotl"
