"ITEM NAME","CAT","TYPE","MAJOR RCP","MINOR RCP","GAME-SPECIFIC TAGS","MOD-SPECIFIC TAGS","MOD-SPECIFIC TAGS","COLOR TAG"
"{{ModId}}_Aguapanela",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","tea_item","raffadax_tea",,
"{{ModId}}_AguapanelaKombucha",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","kombucha_item","raffadax_kombucha",,
"{{ModId}}_Akvavit",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_liquor",,
"{{ModId}}_AlfredoSauce",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","sauce_item","raffadax_puree","raffadax_cooking_component",
"{{ModId}}_AlgaePowder",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","ground_item","raffadax_milled_item",,
"{{ModId}}_Alicorn",-81,"Forage","raffadax_object","raffadax_artisan_object","category_sell_at_pierres_and_marnies, forage_item, forage_item_desert","raffadax_mythic_item","raffadax_nature_forage","color_white"
"{{ModId}}_Alkahest",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","elixir_item","raffadax_mythic_item","raffadax_distillation",
"{{ModId}}_AlkonostFeather",-81,"Forage","raffadax_object","raffadax_artisan_object","category_sell_at_pierres_and_marnies, forage_item, feather_item","raffadax_mythic_item",,"color_light_cyan"
"{{ModId}}_Allium",-80,"Flower","raffadax_object","raffadax_crops_object","forage_item, edible_flower_item",,,"color_pink"
"{{ModId}}_AlliumBalsam",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_mead_balsam",,
"{{ModId}}_AlliumBrandy",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_brandy",,
"{{ModId}}_AlliumFlowerLiqueur",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_liquor",,
"{{ModId}}_AlliumFlowerPreserves",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","jelly_item","raffadax_preserves",,
"{{ModId}}_AlliumFlowerWater",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","juice_item","raffadax_juice_item",,
"{{ModId}}_AlliumHoney",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","honey_item","raffadax_flow_honey",,
"{{ModId}}_AlliumHoneyJelly",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","jelly_item","raffadax_preserves",,
"{{ModId}}_AlliumJam",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","jelly_item","raffadax_preserves",,
"{{ModId}}_AlliumJelly",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","jelly_item","raffadax_preserves",,
"{{ModId}}_AlliumJuice",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","juice_item","raffadax_juice_item",,
"{{ModId}}_AlliumKombucha",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","kombucha_item","raffadax_kombucha",,
"{{ModId}}_AlliumMead",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_mead",,
"{{ModId}}_AlliumNectar",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","nectar_item","raffadax_distillation",,
"{{ModId}}_AlliumPetals",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","flower_petals","raffadax_milled_item",,
"{{ModId}}_AlliumPortMead",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_port_mead",,
"{{ModId}}_AlliumPortWine",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_port_wine",,
"{{ModId}}_AlliumPuree",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","puree_item","raffadax_puree",,
"{{ModId}}_AlliumTea",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","tea_item","raffadax_tea",,
"{{ModId}}_AlliumWine",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_wine",,
"{{ModId}}_Allspice",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","spice_item","raffadax_milled_item",,
"{{ModId}}_AllspiceBrandy",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_brandy",,
"{{ModId}}_AllspiceChutney",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","jelly_item","raffadax_preserves",,
"{{ModId}}_AllspiceExtract",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","extract_item","raffadax_juice_item",,
"{{ModId}}_AllspiceJam",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","jelly_item","raffadax_preserves",,
"{{ModId}}_AllspiceJelly",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","jelly_item","raffadax_preserves",,
"{{ModId}}_AllspiceKombucha",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","kombucha_item","raffadax_kombucha",,
"{{ModId}}_AllspiceLiqueur",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_liquor",,
"{{ModId}}_AllspicePortWine",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_port_wine",,
"{{ModId}}_AllspicePuree",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","puree_item","raffadax_puree",,
"{{ModId}}_AllspiceTea",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","tea_item","raffadax_tea",,
"{{ModId}}_AllspiceWine",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_wine",,
"{{ModId}}_Almond",-81,"Forage","raffadax_object","raffadax_fruittrees_object","nut_item",,,"color_dark_yellow"
"{{ModId}}_AlmondButter",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","nut_butter_item","raffadax_puree",,
"{{ModId}}_AlmondExtract",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","extract_item","raffadax_juice_item",,
"{{ModId}}_AlmondFlour",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","flour_item","raffadax_milled_item",,
"{{ModId}}_AlmondKombucha",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","kombucha_item","raffadax_kombucha",,
"{{ModId}}_AlmondMilk",-6,"Animal Product","raffadax_object","raffadax_artisan_object","milk_item, plant_milk_item","raffadax_milk_item",,"color_white"
"{{ModId}}_AlmondOil",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","oil_item","raffadax_oil_item",,
"{{ModId}}_AlmondTea",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","tea_item","raffadax_tea",,
"{{ModId}}_Aloe",-75,"Vegetable","raffadax_object","raffadax_crops_object","forage_item",,,"color_yellow_green"
"{{ModId}}_AloeExtract",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","extract_item","raffadax_juice_item",,
"{{ModId}}_AloeJuice",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","juice_item","raffadax_juice_item",,
"{{ModId}}_AloeKombucha",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","kombucha_item","raffadax_kombucha",,
"{{ModId}}_AloePowder",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","ground_item","raffadax_milled_item",,
"{{ModId}}_AloeSalve",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","puree_item","raffadax_puree",,
"{{ModId}}_AloeTea",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","tea_item","raffadax_tea",,
"{{ModId}}_Amanita",-81,"Forage","raffadax_object","raffadax_crops_object","forage item, mushroom_item",,,"color_salmon"
"{{ModId}}_AmanitaKombucha",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","kombucha_item","raffadax_kombucha",,
"{{ModId}}_AmaranthFlour",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","flour_item","raffadax_milled_item",,
"{{ModId}}_AmaranthJuice",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","juice_item","raffadax_juice_item",,
"{{ModId}}_Amaretto",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_liquor",,
"{{ModId}}_Amaro",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_liquor",,
"{{ModId}}_AmaterasuWine",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_wine",,
"{{ModId}}_AmberAle",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_ale_item",,
"{{ModId}}_AmberEssence",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","perfume_item","raffadax_fragrance",,
"{{ModId}}_Ambergris",-81,"Forage","raffadax_object","raffadax_artisan_object","category_sell_at_fish_shop, forage_item, forage_item_beach","raffadax_beach_forage",,"color_dark_yellow"
"{{ModId}}_Ambrosia",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_liquor",,
"{{ModId}}_Amchoor",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","spice_item","raffadax_milled_item",,
"{{ModId}}_AmericanCheese",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","cheese_item","raffadax_cheese",,
"{{ModId}}_Amrita",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_liquor",,
"{{ModId}}_Anardana",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","spice_item","raffadax_milled_item",,
"{{ModId}}_AncientCoin",-2,"Mineral","raffadax_object","raffadax_artisan_object","forage_item","raffadax_treasure",,"color_gold"
"{{ModId}}_AncientFruitBrandy",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_brandy",,
"{{ModId}}_AncientFruitCompote",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","jelly_item","raffadax_mythic_item","raffadax_preserves",
"{{ModId}}_AncientFruitJam",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","jelly_item","raffadax_mythic_item","raffadax_preserves",
"{{ModId}}_AncientFruitJelly",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","jelly_item","raffadax_mythic_item","raffadax_preserves",
"{{ModId}}_AncientFruitJuice",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","juice_item","raffadax_mythic_item","raffadax_juice_item",
"{{ModId}}_AncientFruitLiqueur",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_mythic_item","raffadax_liquor",
"{{ModId}}_AncientFruitPortWine",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_mythic_item","raffadax_port_wine",
"{{ModId}}_AncientFruitPuree",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","puree_item","raffadax_mythic_item","raffadax_puree",
"{{ModId}}_AncientFruitWine",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_mythic_item","raffadax_wine",
"{{ModId}}_AncientHoney",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","honey_item, mythic_honey","raffadax_mythic_item","raffadax_flow_honey",
"{{ModId}}_AncientHoneyJelly",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","jelly_item","raffadax_mythic_item","raffadax_preserves",
"{{ModId}}_AncientMead",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_mythic_item","raffadax_mead",
"{{ModId}}_AncientMidus",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_mythic_item","raffadax_mead_midus",
"{{ModId}}_AncientNectar",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","nectar_item","raffadax_mythic_item","raffadax_distillation",
"{{ModId}}_AncientPortMead",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_mythic_item","raffadax_port_mead",
"{{ModId}}_Anemushroom",-81,"Forage","raffadax_object","raffadax_crops_object","forage item, edible_mushroom_item",,,"color_dark_pink"
"{{ModId}}_AnemushroomKombucha",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","kombucha_item","raffadax_kombucha",,
"{{ModId}}_AnemushroomPowder",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","ground_item","raffadax_milled_item",,
"{{ModId}}_AnemushroomTea",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","tea_item","raffadax_tea",,
"{{ModId}}_AngosturaBark",-81,"Forage","raffadax_object","raffadax_fruittrees_object",,,,"color_red"
"{{ModId}}_AngosturaBitters",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_liquor",,
"{{ModId}}_AngosturaExtract",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","extract_item","raffadax_juice_item",,
"{{ModId}}_AngosturaKombucha",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","kombucha_item","raffadax_kombucha",,
"{{ModId}}_AngosturaPowder",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","ground_item","raffadax_milled_item",,
"{{ModId}}_AngosturaTea",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","tea_item","raffadax_tea",,
"{{ModId}}_AniseExtract",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","extract_item","raffadax_juice_item",,
"{{ModId}}_AniseJelly",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","jelly_item","raffadax_preserves",,
"{{ModId}}_AniseStars",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","spice_item","raffadax_milled_item",,
"{{ModId}}_AnjouPearBrandy",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_brandy",,
"{{ModId}}_AnjouPearButter",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","butter_item","raffadax_puree",,
"{{ModId}}_AnjouPearCompote",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","jelly_item","raffadax_preserves",,
"{{ModId}}_AnjouPearJam",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","jelly_item","raffadax_preserves",,
"{{ModId}}_AnjouPearJelly",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","jelly_item","raffadax_preserves",,
"{{ModId}}_AnjouPearJuice",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","juice_item","raffadax_juice_item",,
"{{ModId}}_AnjouPearLiqueur",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_liquor",,
"{{ModId}}_AnjouPearPort",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_port_wine",,
"{{ModId}}_AnjouPearWine",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_wine",,
"{{ModId}}_Anko",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","paste_item","raffadax_baking_component",,
"{{ModId}}_Annatto",-81,"Forage","raffadax_object","raffadax_fruittrees_object",,,,"color_salmon"
"{{ModId}}_AnnattoExtract",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","extract_item","raffadax_juice_item",,
"{{ModId}}_AnnattoJelly",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","jelly_item","raffadax_preserves",,
"{{ModId}}_AnnattoKombucha",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","kombucha_item","raffadax_kombucha",,
"{{ModId}}_AnnattoLiqueur",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_liquor",,
"{{ModId}}_AnnattoPowder",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","ground_item","raffadax_milled_item",,
"{{ModId}}_AnnattoSeeds",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object",,"raffadax_milled_item",,
"{{ModId}}_AnnattoTea",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","tea_item","raffadax_tea",,
"{{ModId}}_Aonori",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object",,"raffadax_milled_item",,
"{{ModId}}_Aperitif",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_liquor",,
"{{ModId}}_ApolloWine",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_mythic_item","raffadax_wine",
"{{ModId}}_AppleBrandy",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_brandy",,
"{{ModId}}_AppleButter",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","butter_item","raffadax_puree",,
"{{ModId}}_AppleChips",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object",,"raffadax_food_item",,
"{{ModId}}_AppleCider",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_beverage","raffadax_cider",
"{{ModId}}_AppleCiderVinegar",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","jelly_item","raffadax_preserves",,
"{{ModId}}_Applejack",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","food_breakfast","raffadax_food_item",,
"{{ModId}}_AppleJam",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","jelly_item","raffadax_preserves",,
"{{ModId}}_AppleJelly",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","jelly_item","raffadax_preserves",,
"{{ModId}}_AppleJuice",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","juice_item","raffadax_juice_item",,
"{{ModId}}_AppleLiqueur",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_liquor",,
"{{ModId}}_AppleofDiscord",-79,"Fruit","raffadax_object","raffadax_fruittrees_object, 
raffadax_crafted_object",,"raffadax_divine_item","raffadax_production_component",
"{{ModId}}_AppleofIdunn",-79,"Fruit","raffadax_object","raffadax_fruittrees_object, 
raffadax_crafted_object",,"raffadax_divine_item","raffadax_production_component",
"{{ModId}}_ApplePortWine",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_port_wine",,
"{{ModId}}_ApplePreserves",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","jelly_item","raffadax_preserves",,
"{{ModId}}_AppleSauce",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","puree_item","raffadax_puree",,
"{{ModId}}_AppleSnacks",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object",,"raffadax_food_item",,
"{{ModId}}_AppleSoda",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","soda_item","raffadax_beverage","raffadax_soda",
"{{ModId}}_AppleWine",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_wine",,
"{{ModId}}_ApricotBrandy",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_brandy",,
"{{ModId}}_ApricotJam",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","jelly_item","raffadax_preserves",,
"{{ModId}}_ApricotJelly",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","jelly_item","raffadax_preserves",,
"{{ModId}}_ApricotJuice",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","juice_item","raffadax_juice_item",,
"{{ModId}}_ApricotKernel",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object",,"raffadax_milled_item",,
"{{ModId}}_ApricotLiqueur",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_liquor",,
"{{ModId}}_ApricotOil",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","oil_item","raffadax_oil_item",,
"{{ModId}}_ApricotPortWine",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_port_wine",,
"{{ModId}}_ApricotPreserves",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","jelly_item","raffadax_preserves",,
"{{ModId}}_ApricotPuree",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","puree_item","raffadax_puree",,
"{{ModId}}_ApricotWine",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_wine",,
"{{ModId}}_ArcticBrandy",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_divine_item","raffadax_brandy",
"{{ModId}}_ArcticChampagne",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_divine_item","raffadax_sparkling_wine",
"{{ModId}}_ArcticDust",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","ground_item","raffadax_divine_item","raffadax_production_component",
"{{ModId}}_ArcticVerglas",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_liquor",,
"{{ModId}}_ArcticWine",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_mythic_item","raffadax_wine",
"{{ModId}}_ArgentBoughs",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","perfume_item","raffadax_fragrance",,
"{{ModId}}_ArnoldPalmer",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","beverage_item","raffadax_beverage",,
"{{ModId}}_Artemisia",-80,"Flower","raffadax_object","raffadax_crops_object",,,,"color_gold"
"{{ModId}}_ArtemisiaBalsam",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_mead_balsam",,
"{{ModId}}_ArtemisiaBrandy",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","alcohol_item","raffadax_brandy",,
"{{ModId}}_ArtemisiaFlowerPreserves",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","jelly_item","raffadax_preserves",,
"{{ModId}}_ArtemisiaHoney",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","honey_item","raffadax_flow_honey",,
"{{ModId}}_ArtemisiaHoneyJelly",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","jelly_item","raffadax_preserves",,
"{{ModId}}_ArtemisiaJam",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","jelly_item","raffadax_preserves",,
"{{ModId}}_ArtemisiaJelly",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","jelly_item","raffadax_preserves",,
"{{ModId}}_ArtemisiaKombucha",-26,"ArtisanGoods","raffadax_object","raffadax_artisan_object","kombucha_item","raffadax_kombucha",,
